2021-08-30 21:11:48.941 LOG_INFO  -----------------  JGLog thread started!   ---------------------------- 
2021-08-30 21:11:48.941 LOG_INFO  logger id=0 key=Main name=LLF_IPS path=./log/ level=1 display=1 
2021-08-30 21:11:50.623 LOG_INFO  启动实例ID[1]. (ConnectObject.cpp):65 
2021-08-30 21:11:50.692 LOG_INFO  实例ID[1],请求连接服务器[124.74.252.82:8910]. (ConnectObject.cpp):245 
2021-08-30 21:11:50.706 LOG_DEBUG 实例ID[1],接收到SOCKET_ID[1][124.74.252.82:8910]的OnConnect消息. (ConnectObject.cpp):118 
2021-08-30 21:11:50.721 LOG_INFO  实例ID[1],登录成功. (ConnectObject.cpp):926 
2021-08-30 21:11:50.721 LOG_INFO  实例ID[1],请求[深市][沪市]代码表obj=[0CD5E6C8]. (ConnectObject.cpp):1011 
2021-08-30 21:11:50.979 LOG_INFO  实例ID[1],接收到[深市]市场代码表个数[13122]. (ConnectObject.cpp):1264 
2021-08-30 21:11:50.979 LOG_INFO  实例ID[1],接收到[沪市]市场代码表个数[16964]. (ConnectObject.cpp):1264 
2021-08-30 21:15:16.790 LOG_INFO  [JGCMNET::Connection::HandleRecv][274][IP:124.74.252.82][Port:8910][error_code:10054][error_msg:远程主机强迫关闭了一个现有的连接。] (ConnectObject.cpp):220 
2021-08-30 21:15:19.127 LOG_INFO  [JGCMNET::Connection::HandleSend][228][IP:124.74.252.82][Port:8910][error_code:10054][error_msg:远程主机强迫关闭了一个现有的连接。] (ConnectObject.cpp):220 
2021-08-30 21:18:51.106 LOG_INFO  实例ID[1], 接收到SocketID[1]的onClose消息. (ConnectObject.cpp):181 
2021-08-30 21:18:51.173 LOG_INFO  实例ID[1],请求连接服务器[124.74.252.82:8910]. (ConnectObject.cpp):245 
2021-08-30 21:18:51.297 LOG_DEBUG 实例ID[1],接收到SOCKET_ID[1][124.74.252.82:8910]的OnConnect消息. (ConnectObject.cpp):118 
2021-08-30 21:18:51.426 LOG_INFO  实例ID[1],请求[深市][沪市]代码表obj=[0CD5E6C8]. (ConnectObject.cpp):1011 
2021-08-30 21:18:51.870 LOG_INFO  实例ID[1],请求订阅[添加-现货-行情快照],个数[2]. (ConnectObject.cpp):3999 
2021-08-30 21:18:51.870 LOG_INFO  实例ID[1],请求订阅[添加-现货-指数快照],个数[1]. (ConnectObject.cpp):3901 
2021-08-30 21:18:51.896 LOG_INFO  实例ID[1],登录成功. (ConnectObject.cpp):926 
2021-08-30 21:18:51.896 LOG_INFO  实例ID[1],请求[深市][沪市]代码表obj=[0CD5E6C8]. (ConnectObject.cpp):1011 
2021-08-30 21:18:51.959 LOG_INFO  实例ID[1],接收到[深市]市场代码表个数[13122]. (ConnectObject.cpp):1264 
2021-08-30 21:18:51.959 LOG_INFO  实例ID[1],接收到[沪市]市场代码表个数[16964]. (ConnectObject.cpp):1264 
2021-08-30 21:18:53.162 LOG_INFO  实例ID[1],请求订阅[添加-现货-行情快照],个数[2]. (ConnectObject.cpp):3999 
2021-08-30 21:18:53.162 LOG_INFO  实例ID[1],请求订阅[添加-现货-指数快照],个数[1]. (ConnectObject.cpp):3901 
2021-08-30 21:18:53.178 LOG_INFO  实例ID[1],订阅应答[添加-现货-行情快照],失败个数[0]. (ConnectObject.cpp):2269 
2021-08-30 21:18:53.178 LOG_INFO  实例ID[1],订阅应答[添加-现货-指数快照],失败个数[0]. (ConnectObject.cpp):2269 
2021-08-30 21:18:53.534 LOG_INFO  实例ID[1],接收到[深市]市场代码表个数[13122]. (ConnectObject.cpp):1264 
2021-08-30 21:18:53.534 LOG_INFO  实例ID[1],接收到[沪市]市场代码表个数[16964]. (ConnectObject.cpp):1264 
2021-08-30 21:18:54.652 LOG_INFO  实例ID[1],请求订阅[添加-现货-行情快照],个数[2]. (ConnectObject.cpp):3999 
2021-08-30 21:18:54.652 LOG_INFO  实例ID[1],请求订阅[添加-现货-指数快照],个数[1]. (ConnectObject.cpp):3901 
2021-08-30 21:18:54.652 LOG_INFO  实例ID[1],订阅应答[添加-现货-行情快照],失败个数[0]. (ConnectObject.cpp):2269 
2021-08-30 21:18:54.652 LOG_INFO  实例ID[1],订阅应答[添加-现货-指数快照],失败个数[0]. (ConnectObject.cpp):2269 
2021-08-30 21:18:54.661 LOG_INFO  实例ID[1],订阅应答[添加-现货-行情快照],失败个数[0]. (ConnectObject.cpp):2269 
2021-08-30 21:18:54.661 LOG_INFO  实例ID[1],订阅应答[添加-现货-指数快照],失败个数[0]. (ConnectObject.cpp):2269 
